time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-01-10T22:04:20.360Z,42.494,131.727,541,3.5,mb,,,,0.38,us,usp0009m0n,2014-11-07T01:09:19.070Z,"49 km SE of Slavyanka, Russia",earthquake,,13.9,,1,reviewed,us,us
2000-02-13T02:57:08.720Z,42.853,131.572,513.6,6,mwc,,,,0.8,us,usp0009nd9,2022-04-29T18:31:46.650Z,"15 km E of Slavyanka, Russia",earthquake,,,,,reviewed,us,hrv
2000-05-04T02:02:06.130Z,33.771,132.303,58.6,4.3,mb,,,,0.73,us,usp0009sbc,2014-11-07T01:10:02.827Z,"27 km SE of Yanai, Japan",earthquake,,12,,1,reviewed,us,us
2000-09-07T05:51:38.430Z,33.532,132.35,45.6,3.9,mb,10,,,1.29,us,usp0009zu7,2014-11-07T01:11:03.229Z,"18 km W of ?zu, Japan",earthquake,,,,1,reviewed,us,us
2000-09-08T14:18:20.900Z,41.763,130.872,582.3,4.9,mb,161,,,0.9,us,usp0009zwv,2014-11-07T01:11:03.503Z,"73 km SE of Rajin, North Korea",earthquake,,3.8,,62,reviewed,us,us
2000-11-30T18:46:41.540Z,33.619,132.111,69.7,4.5,mb,23,,,0.79,us,usp000a59k,2014-11-07T01:11:35.791Z,"38 km S of Yanai, Japan",earthquake,,7,,4,reviewed,us,us
2000-12-09T09:51:02.180Z,36.427,129.892,33,3.8,mb,12,,,1.25,us,usp000a5ru,2014-11-07T01:11:41.907Z,"60 km NE of Heunghae, South Korea",earthquake,,,,2,reviewed,us,us
2001-01-09T04:37:48.610Z,33.569,132.124,48.9,4.9,mb,93,,,0.99,us,usp000a7bt,2014-11-07T01:11:53.360Z,"40 km W of ?zu, Japan",earthquake,,,,38,reviewed,us,us
2001-03-24T06:27:53.580Z,34.083,132.526,50,6.8,mwc,596,,,0.85,us,usp000abyg,2022-04-29T19:10:08.722Z,"16 km SSW of Kure, Japan",earthquake,,,,,reviewed,us,hrv
2001-03-24T13:37:33.380Z,33.997,132.601,61.9,3.8,mb,19,,,1.21,us,usp000abyx,2014-11-07T01:12:24.885Z,"16 km W of H?j?, Japan",earthquake,,,,5,reviewed,us,us
2001-03-25T10:19:10.320Z,34.01,132.583,48.4,4.4,mb,36,,,1.04,us,usp000ac0e,2014-11-07T01:12:25.026Z,"18 km WNW of H?j?, Japan",earthquake,,,,10,reviewed,us,us
2001-03-25T17:15:59.120Z,33.907,132.587,49.2,4.1,mb,20,,,0.88,us,usp000ac14,2014-11-07T01:12:25.429Z,"17 km NW of Masaki-ch?, Japan",earthquake,,16.7,,8,reviewed,us,us
2001-03-25T20:40:51.440Z,34.017,132.542,42.9,5.2,mwc,214,,,0.76,us,usp000ac1b,2022-04-29T19:15:10.183Z,"22 km WNW of H?j?, Japan",earthquake,,,,,reviewed,us,hrv
2001-04-03T12:14:41.630Z,33.712,131.918,64,4.6,mb,41,,,1.24,us,usp000acg8,2014-11-07T01:12:31.104Z,"27 km S of Hikari, Japan",earthquake,,,,14,reviewed,us,us
2001-07-15T19:38:42.430Z,42.789,131.117,562.8,3.8,mb,44,,,0.96,us,usp000ajkt,2014-11-07T01:13:17.259Z,"17 km N of Zarubino, Russia",earthquake,,8.5,,19,reviewed,us,us
2001-11-24T11:50:41.100Z,43.217,131.045,547.2,3.9,mb,22,,,1.07,us,usp000atdh,2014-11-07T01:14:17.927Z,"36 km W of Barabash, Russia",earthquake,,36.7,,6,reviewed,us,us
2002-03-17T00:26:40.110Z,38.063,124.586,33,3.9,mb,11,,,1.14,us,usp000b0fd,2014-11-07T01:15:10.179Z,"49 km WSW of Changy?n, North Korea",earthquake,,,,3,reviewed,us,us
2002-03-25T13:58:16.510Z,33.724,132.528,52.9,4.6,mb,57,,,1.11,us,usp000b10x,2014-11-07T01:15:14.011Z,"16 km W of Iyo, Japan",earthquake,,8.8,,20,reviewed,us,us
2002-04-05T16:57:04.680Z,33.39,132.446,52.6,4.5,mb,49,,,1.25,us,usp000b1t2,2014-11-07T01:15:21.595Z,"15 km SW of ?zu, Japan",earthquake,,8.8,,24,reviewed,us,us
2002-04-16T22:52:38.190Z,40.705,128.67,10,4.6,mb,12,,,0.37,us,usp000b2hz,2014-11-07T01:15:25.762Z,"42 km N of Iw?n-?p, North Korea",earthquake,,,,2,reviewed,us,us
2002-08-25T11:47:14.100Z,43.054,131.305,539.3,3.3,mb,14,,,0.76,us,usp000bakx,2014-11-07T01:16:20.296Z,"22 km NNW of Slavyanka, Russia",earthquake,,12.6,,1,reviewed,us,us
