발생시각,규모,위도,경도
2016/12/31 0:00,2.6,39.31,126.27
2016/12/30 0:00,2.5,38.64,125.76
2016/12/29 0:00,2.3,36.12,129.36
2016/12/29 0:00,2.6,38.71,125.76
2016/12/25 0:00,2.5,35.78,129.31
2016/12/25 0:00,2.4,35.25,129.39
2016/12/23 0:00,2.2,36.12,129.36
2016/12/22 0:00,2.2,34.45,128.54
2016/12/15 0:00,2.1,35.76,129.19
2016/12/14 0:00,3.3,35.76,129.17
2016/12/14 0:00,2.1,36.54,128.08
2016/12/12 0:00,3.3,35.76,129.18
2016/12/12 0:00,2.2,35.76,129.18
2016/12/11 0:00,2.6,36.07,125.57
2016/12/10 0:00,2,37.63,129.68
2016/12/10 0:00,2.1,35.77,129.17
2016/12/09 0:00,2.4,35.69,129.36
2016/12/07 0:00,2.4,37.18,125.48
2016/12/05 0:00,2.1,35.81,129.72
2016/12/05 0:00,2.1,35.77,129.18
2016/12/02 0:00,2.1,35.76,129.19
2016/11/29 0:00,2.9,33.4,125.72
2016/11/28 0:00,2.2,38.49,126.14
2016/11/28 0:00,2.4,35.77,129.19
2016/11/27 0:00,2.2,36.02,127.39
2016/11/27 0:00,2.5,36.34,127.33
2016/11/25 0:00,2.3,35.75,129.17
2016/11/19 0:00,2.1,35.76,129.19
2016/11/18 0:00,2,35.51,128.09
2016/11/16 0:00,2.1,34.86,125.08
2016/11/15 0:00,2,35.76,129.19
2016/11/15 0:00,2.5,38.35,128.09
2016/11/13 0:00,3.5,36.36,126.63
2016/11/13 0:00,2.3,38.76,125.66
2016/11/10 0:00,2.5,36.46,129.89
2016/11/09 0:00,2.3,36.55,129.6
2016/11/06 0:00,3.5,33.76,125.07
2016/11/03 0:00,2.6,35.32,128.49
2016/11/03 0:00,2.3,35.76,129.19
2016/11/03 0:00,2.3,35.76,129.19
2016/11/03 0:00,2.1,35.75,129.18
2016/11/02 0:00,2.3,33.53,126.88
2016/10/25 0:00,2.4,35.7,129.37
2016/10/25 0:00,2,35.76,129.19
2016/10/24 0:00,2.2,37.25,127.02
2016/10/23 0:00,2.7,35.78,129.2
2016/10/21 0:00,2.6,35.75,129.17
2016/10/21 0:00,2.2,36.46,126.87
2016/10/20 0:00,2.4,35.76,129.19
2016/10/15 0:00,2.2,35.76,129.17
2016/10/15 0:00,2.5,35.74,129.18
2016/10/14 0:00,2.3,35.76,129.19
2016/10/12 0:00,2.9,35.76,129.18
2016/10/10 0:00,3.3,35.75,129.18
2016/10/09 0:00,2.2,35.08,126.93
2016/10/07 0:00,2.2,35.77,129.23
2016/10/05 0:00,2.3,38.76,125.62
2016/10/04 0:00,2.6,35.76,129.19
2016/10/02 0:00,3,35.75,129.19
2016/10/01 0:00,2.3,35.76,129.18
2016/10/01 0:00,2,35.76,129.18
2016/09/30 0:00,2.2,35.75,129.18
2016/09/30 0:00,2.3,35.76,129.16
2016/09/30 0:00,2,35.77,129.16
2016/09/30 0:00,2.1,35.76,129.18
2016/09/28 0:00,2.7,35.77,129.17
2016/09/28 0:00,2.6,38.74,125.73
2016/09/28 0:00,2.8,38.74,125.69
2016/09/28 0:00,3.1,35.76,129.18
2016/09/24 0:00,2.5,35.79,129.19
2016/09/23 0:00,2.1,35.76,129.18
